alpha,beta,tv_direct,tv_closed_form,tv_residual,hellinger,kl,regime,forward_0,backward_0
0.019796,0.107959,0.072796254337,0.072796254337,-6.939e-17,0.051508901854,0.015317628095,Smooth,0.463601872832,0.536398127168
0.019796,0.117755,0.066262971574,0.066262971574,1.249e-16,0.046880762326,0.012687708552,Smooth,0.466868514213,0.533131485787
0.019796,0.127551,0.060639082465,0.060639082465,1.110e-16,0.042898046659,0.010622896299,Smooth,0.469680458768,0.530319541232
0.019796,0.137347,0.055742837954,0.055742837954,2.082e-17,0.039431469114,0.008974972263,Smooth,0.472128581023,0.527871418977
0.019796,0.147143,0.051437723581,0.051437723581,6.245e-17,0.036384006396,0.007641022518,Smooth,0.474281138210,0.525718861790
0.019796,0.156939,0.047619202312,0.047619202312,-1.388e-17,0.033681414591,0.006547829419,Smooth,0.476190398844,0.523809601156
0.019796,0.166735,0.044205861109,0.044205861109,-7.633e-17,0.031265906143,0.005642185721,Smooth,0.477897069445,0.522102930555
0.019796,0.176531,0.041133344076,0.041133344076,-1.249e-16,0.029091822531,0.004884697640,Smooth,0.479433327962,0.520566672038
0.019796,0.186327,0.038350099919,0.038350099919,1.249e-16,0.027122604259,0.004245712477,Smooth,0.480824950041,0.519175049959
0.019796,0.196122,0.035814340720,0.035814340720,-6.939e-18,0.025328625840,0.003702578244,Smooth,0.482092829640,0.517907170360
0.019796,0.205918,0.033491827690,0.033491827690,3.469e-17,0.023685620666,0.003237760295,Smooth,0.483254086155,0.516745913845
0.019796,0.215714,0.031354232878,0.031354232878,8.327e-17,0.022173516339,0.002837522220,Smooth,0.484322883561,0.515677116439
0.019796,0.225510,0.029377909279,0.029377909279,5.898e-17,0.020775560797,0.002490986037,Smooth,0.485311045360,0.514688954640
0.019796,0.235306,0.027542955267,0.027542955267,-9.021e-17,0.019477657885,0.002189452184,Smooth,0.486228522366,0.513771477634
0.019796,0.245102,0.025832494275,0.025832494275,-1.041e-17,0.018267856003,0.001925900520,Smooth,0.487083752863,0.512916247137
0.019796,0.254898,0.024232114055,0.024232114055,-4.510e-17,0.017135950170,0.001694619386,Smooth,0.487883942972,0.512116057028
0.019796,0.264694,0.022729425687,0.022729425687,1.735e-17,0.016073169182,0.001490926608,Smooth,0.488635287157,0.511364712843
0.019796,0.274490,0.021313713483,0.021313713483,8.674e-17,0.015071927306,0.001310957333,Smooth,0.489343143259,0.510656856741
0.019796,0.284286,0.019975654611,0.019975654611,5.898e-17,0.014125625485,0.001151501081,Smooth,0.490012172695,0.509987827305
0.019796,0.294082,0.018707092711,0.018707092711,6.939e-18,0.013228490848,0.001009875418,Smooth,0.490646453644,0.509353546356
